System,Model,CPU_T_mean,CPU_T_min,CPU_T_max,ObjVal_mean,ObjVal_min,ObjVal_max,Bench_Obj,Improve_ObjVal_mean,Improve_ObjVal_min,Improve_ObjVal_max
1,MEG,4.5687,3.32,6.491,32447084.358999997,20515323.1,36221885.9,26700702.925,21.521461251941915,-23.165606697225176,35.65892254501385
1,MEG-NoLink,9.5474,8.988,11.043,32447084.335,20515322.95,36221885.86,26700702.925,21.521461162056653,-23.16560725900815,35.65892239520506
1,TUC-SSC1,6.85265,5.308,7.924,32455763.151499998,20524489.7,36227718.46,26700702.925,21.553965237040654,-23.131275765842037,35.68076676393343
1,TUC-SSC2,4.59215,3.628,6.39,32455763.151499998,20524489.7,36227718.46,26700702.925,21.553965237040654,-23.131275765842037,35.68076676393343
1,TUC-SSC2-NoLink,8.36905,6.803,9.636,32455763.148500003,20524489.68,36227718.46,26700702.925,21.553965225805012,-23.131275840746433,35.68076676393343
1,UC-SSC,7.808249999999999,7.444,8.317,26700702.925,15440243.0,30374059.5,26700702.925,0.0,0.0,0.0
2,MEG,18.03755,10.633,23.887,23679648.955000002,11673856.5,30094828.6,20210329.718000002,17.166069457590822,-42.23816898146462,48.90815251369467
2,MEG-NoLink,32.5172,26.663,38.076,23679648.9455,11673856.44,30094828.61,20210329.718000002,17.166069410585152,-42.23816927834251,48.908152563174305
2,TUC-SSC1,22.2678,14.817,29.285,23833884.1855,11687379.1,30257158.3,20210329.718000002,17.929219948711363,-42.17125963268761,49.711354154959444
2,TUC-SSC2,17.09995,11.51,20.574,23836370.134999998,11687379.1,30257168.2,20210329.718000002,17.941520339326882,-42.17125963268761,49.71140313981095
2,TUC-SSC2-NoLink,34.42635,27.834,66.074,23836370.1035,11687379.11,30257168.16,20210329.718000002,17.941520183466007,-42.17125958320796,49.71140294189236
2,UC-SSC,21.9383,13.153,28.536,20210329.718000002,8971789.84,25575652.5,20210329.718000002,0.0,0.0,0.0
3,MEG,4.1548,3.796,4.988,39785977.05,36633310.7,44763953.0,32071278.555,24.05485170093805,14.224665652716142,39.57645287896131
3,MEG-NoLink,7.4276,6.822,7.797,39785977.019999996,36633310.7,44763953.0,32071278.555,24.054851607396404,14.224665652716142,39.57645287896131
3,TUC-SSC1,5.137449999999999,4.722,5.703,39845589.875,36691794.0,44805658.9,32071278.555,24.240727748560445,14.407019779632858,39.706494155390246
3,TUC-SSC2,5.5100999999999996,5.135,6.101,39845593.644999996,36691794.9,44805660.9,32071278.555,24.240739503626553,14.407022585882057,39.70650039149959
3,TUC-SSC2-NoLink,8.5929,7.643,10.917,39845593.485,36691794.9,44805660.8,32071278.555,24.240739004737815,14.407022585882057,39.706500079694116
3,UC-SSC,10.4902,8.928,12.851,32071278.555,28992463.0,37057332.6,32071278.555,0.0,0.0,0.0
4,MEG,15.72075,13.862,18.139,41582544.055,38409062.8,46576647.0,31355728.544999998,32.615461303420346,22.49456345712856,48.542703873570616
4,MEG-NoLink,76.65695,66.946,87.201,41582544.03,38409062.81,46576646.98,31355728.544999998,32.615461223690104,22.494563489020678,48.54270380978641
4,TUC-SSC1,25.662799999999997,23.13,30.023,41609864.025,38432057.3,46604388.7,31355728.544999998,32.70259042230141,22.567897744249333,48.631177977944205
4,TUC-SSC2,18.1166,16.116,22.915,41610112.065,38432293.2,46604745.8,31355728.544999998,32.703381473925816,22.568650078865534,48.63231684480065
4,TUC-SSC2-NoLink,83.3464,67.023,114.47,41610112.0545,38432293.2,46604745.73,31355728.544999998,32.703381440439124,22.568650078865534,48.63231662155595
4,UC-SSC,25.5811,22.59,35.302,31355728.544999998,28605196.2,35816651.6,31355728.544999998,0.0,0.0,0.0
5,MEG,202.7095,134.076,371.694,33245370.8375,30559544.33,37527699.42,24409039.105,36.20106344411544,25.197654027028516,53.745091146634884
5,MEG-NoLink,397.1121,323.291,668.796,33245370.8375,30559544.33,37527699.42,24409039.105,36.20106344411544,25.197654027028516,53.745091146634884
5,TUC-SSC1,387.05045,256.841,888.069,33302558.070499998,30601748.55,37605353.38,24409039.105,36.435350556991935,25.37055808858724,54.06322722592075
5,TUC-SSC2,252.30135,175.585,362.484,33302672.389999997,30601763.17,37605857.35,24409039.105,36.43581890603061,25.37061798443131,54.06529191186693
5,TUC-SSC2-NoLink,496.19750000000005,393.707,873.519,33302672.389999997,30601763.17,37605857.35,24409039.105,36.43581890603061,25.37061798443131,54.06529191186693
5,UC-SSC,1750.4032,869.549,9595.664,24409039.105,21982972.5,28406800.4,24409039.105,0.0,0.0,0.0
6,MEG,35.50005,28.645,44.554,109394766.9,106532659.0,113482770.0,92142662.42999999,18.723253718771467,15.617083542525123,23.15985560566139
6,MEG-NoLink,854.4220499999999,720.679,1072.907,109394765.995,106532658.9,113482767.0,92142662.42999999,18.723252736598848,15.617083433997767,23.15985234984056
6,TUC-SSC1,69.799,54.042,88.852,114582351.2,110369371.0,121683225.0,92142662.42999999,24.353202065381225,19.780965829858328,32.059593016906504
6,TUC-SSC2,52.58665,39.664,64.962,114812030.45,110447293.0,121934791.0,92142662.42999999,24.60246689444397,19.865532520189422,32.33261095817894
6,TUC-SSC2-NoLink,674.8502000000001,566.28,865.081,114812030.04,110447292.4,121934790.5,92142662.42999999,24.602466449481796,19.86553186902526,32.332610415542135
6,UC-SSC,94.39815,81.649,133.97,92142662.42999999,89202831.0,95882438.1,92142662.42999999,0.0,0.0,0.0
