System,Model,Solved_Count,Total_Days,Success_Rate
1,MEG,20,20,1.0
1,MEG-NoLink,20,20,1.0
1,TUC-SSC1,20,20,1.0
1,TUC-SSC2,20,20,1.0
1,TUC-SSC2-NoLink,20,20,1.0
1,UC-SSC,20,20,1.0
2,MEG,20,20,1.0
2,MEG-NoLink,20,20,1.0
2,TUC-SSC1,20,20,1.0
2,TUC-SSC2,20,20,1.0
2,TUC-SSC2-NoLink,20,20,1.0
2,UC-SSC,20,20,1.0
3,MEG,20,20,1.0
3,MEG-NoLink,20,20,1.0
3,TUC-SSC1,20,20,1.0
3,TUC-SSC2,20,20,1.0
3,TUC-SSC2-NoLink,20,20,1.0
3,UC-SSC,20,20,1.0
4,MEG,20,20,1.0
4,MEG-NoLink,20,20,1.0
4,TUC-SSC1,20,20,1.0
4,TUC-SSC2,20,20,1.0
4,TUC-SSC2-NoLink,20,20,1.0
4,UC-SSC,20,20,1.0
5,MEG,19,20,0.95
5,MEG-NoLink,3,20,0.15
5,TUC-SSC1,20,20,1.0
5,TUC-SSC2,20,20,1.0
5,TUC-SSC2-NoLink,14,20,0.7
5,UC-SSC,7,20,0.35
6,MEG,11,20,0.55
6,MEG-NoLink,10,20,0.5
6,TUC-SSC1,13,20,0.65
6,TUC-SSC2,14,20,0.7
6,TUC-SSC2-NoLink,11,20,0.55
6,UC-SSC,0,20,0.0
